bin,count,mean_predicted_probability,observed_podium_rate,calibration_error
"(0.007970000000000001, 0.0971]",137,0.03139842654993462,0.021897810218978103,0.009500616330956516
"(0.0971, 0.184]",15,0.13064471890949678,0.06666666666666667,0.06397805224283011
"(0.184, 0.272]",13,0.23301491178663952,0.38461538461538464,0.15160047282874511
"(0.272, 0.359]",6,0.30375643755827786,0.3333333333333333,0.029576895775055456
"(0.359, 0.446]",6,0.40031760195980065,0.6666666666666666,0.266349064706866
"(0.446, 0.534]",5,0.48379716097482833,0.6,0.11620283902517164
"(0.534, 0.621]",9,0.5739301443965265,0.5555555555555556,0.018374588840970874
"(0.621, 0.708]",5,0.6595517101265568,0.8,0.14044828987344327
"(0.708, 0.795]",2,0.7679337168674776,1.0,0.23206628313252242
"(0.795, 0.883]",2,0.8763017687137158,0.5,0.3763017687137158
